file_name,timestamp,txHashes,realTimestamp,end_timestamp,sender_shard,receiver_shard,sender,receiver,mini_block_hash,timestamp_difference,has_corresponding_AAT,is_affected_by_AAT
0,1714688867,6adb74191eb31fa937e49fe597263827b01b5412f18bf3cff2887fbec95105e8,1714688869,1714688897,1,0,erd18tudnj2z8vjh0339yu3vrkgzz2jpz8mjq0uhgnmklnap6z33qqeszq2yn4,erd1spyavw0956vq68xj8y4tenjpq2wd5a9p2c6j8gsz7ztyrnpxrruqzu66jx,18745d6780d2d2a48063cb6b1ef3f8b5e07f23a16362cd49957967eb3a19fbe1,28,0,0
1,1714688867,998bef001b540c924a53c3723911906ebd42033cb846ff3e679956b3ca8492ca,1714688868,1714688897,2,1,erd1k2s324ww2g0yj38qn2ch2jwctdy8mnfxep94q9arncc6xecg3xaq6mjse8,erd1kdl46yctawygtwg2k462307dmz2v55c605737dp3zkxh04sct7asqylhyv,26d3dfc74e79fe29bc9670bb3cf3a6bad0dd001a136fecd77430163b849e3841,29,0,0
2,1714688867,77346130ccd73140fa7f5177c6951fe0c1d35061e33bb8c69585f0c1b855988c,1714688868,1714688897,1,0,erd18tudnj2z8vjh0339yu3vrkgzz2jpz8mjq0uhgnmklnap6z33qqeszq2yn4,erd1uv40ahysflse896x4ktnh6ecx43u7cmy9wnxnvcyp7deg299a4sq6vaywa,18745d6780d2d2a48063cb6b1ef3f8b5e07f23a16362cd49957967eb3a19fbe1,29,0,0
3,1714688867,4f0026e5dbea9b406a556389fbcc68a926c7630dbf7aa7e4a017d8712224d275,1714688869,1714688897,1,0,erd18tudnj2z8vjh0339yu3vrkgzz2jpz8mjq0uhgnmklnap6z33qqeszq2yn4,erd1spyavw0956vq68xj8y4tenjpq2wd5a9p2c6j8gsz7ztyrnpxrruqzu66jx,18745d6780d2d2a48063cb6b1ef3f8b5e07f23a16362cd49957967eb3a19fbe1,28,0,0
4,1714688867,73496cf13999d15a0e4631cbdf43017feecf6ef04616a25075e3ff9aad5ae5f1,1714688869,1714688897,0,1,erd1uv40ahysflse896x4ktnh6ecx43u7cmy9wnxnvcyp7deg299a4sq6vaywa,erd1z32fx8l6wk9tx4j555sxk28fm0clhr0cl88dpyam9zr7kw0hu7hsx2j524,6f4f7bd880b9b1685e1e32ba8811a3f4ccb711632c9ea3465bcefc3f94923a29,28,0,0
5,1714688867,8b2cd8e61c12d6f02148537bdef40579c6cbff7ff0aba996f294d34a31992ba4,1714688869,1714688897,1,0,erd1qyu5wthldzr8wx5c9ucg8kjagg0jfs53s8nr3zpz3hypefsdd8ssycr6th,erd1spyavw0956vq68xj8y4tenjpq2wd5a9p2c6j8gsz7ztyrnpxrruqzu66jx,18745d6780d2d2a48063cb6b1ef3f8b5e07f23a16362cd49957967eb3a19fbe1,28,0,0
6,1714688867,d0ef6c1d661accd17fd6046673be26289f5b72b7a232ef61307b673d11cb7b56,1714688868,1714688897,1,0,erd1qyu5wthldzr8wx5c9ucg8kjagg0jfs53s8nr3zpz3hypefsdd8ssycr6th,erd1spyavw0956vq68xj8y4tenjpq2wd5a9p2c6j8gsz7ztyrnpxrruqzu66jx,18745d6780d2d2a48063cb6b1ef3f8b5e07f23a16362cd49957967eb3a19fbe1,29,0,0
7,1714688867,212c02e0bf934fc419deb67c3d0bd69a5288e3693ddec7cb82f220cb47505f8f,1714688869,1714688897,1,2,erd18tudnj2z8vjh0339yu3vrkgzz2jpz8mjq0uhgnmklnap6z33qqeszq2yn4,erd1dc3yzxxeq69wvf583gw0h67td226gu2ahpk3k50qdgzzym8npltq7ndgha,23d2e249a3428d3e4359cfe43df75bd9c5722b3beb7a49ba33a23f33b37307d8,28,0,0
8,1714688867,3e3138a8c52239e4140cfdc79ab896b1d8c5728ee2949f88d602bc1220d9fd24,1714688869,1714688897,1,0,erd18tudnj2z8vjh0339yu3vrkgzz2jpz8mjq0uhgnmklnap6z33qqeszq2yn4,erd1uv40ahysflse896x4ktnh6ecx43u7cmy9wnxnvcyp7deg299a4sq6vaywa,18745d6780d2d2a48063cb6b1ef3f8b5e07f23a16362cd49957967eb3a19fbe1,28,0,0
9,1714688867,fe4a5ca031b15b4ed0ce38b9c3264732231bc4b6f3924a80f8b43c65a0089d2d,1714688869,1714688897,1,2,erd18tudnj2z8vjh0339yu3vrkgzz2jpz8mjq0uhgnmklnap6z33qqeszq2yn4,erd1dc3yzxxeq69wvf583gw0h67td226gu2ahpk3k50qdgzzym8npltq7ndgha,23d2e249a3428d3e4359cfe43df75bd9c5722b3beb7a49ba33a23f33b37307d8,28,0,0
10,1714688867,9a4585f4e4441f8e3e4124de8b4a03c90755ef61d641c3bf0ac6ccd01f1e50e4,1714688869,1714688903,1,2,erd1kyaqzaprcdnv4luvanah0gfxzzsnpaygsy6pytrexll2urtd05ts9vegu7,erd1fggp5ru0jhcjrp5rjqyqrnvhr3sz3v2e0fm3ktknvlg7mcyan54qzccnan,0ee242a33b3bc2c36500f1bfc1e1e7db9d3b48d52b7a1d40a496cb65c5383b0f,34,0,0
11,1714688867,5d24066abf9f82e3e1b6cd973caf6a9f8f679260f112a939448a6b574451e740,1714688869,1714688897,1,2,erd18tudnj2z8vjh0339yu3vrkgzz2jpz8mjq0uhgnmklnap6z33qqeszq2yn4,erd1dc3yzxxeq69wvf583gw0h67td226gu2ahpk3k50qdgzzym8npltq7ndgha,23d2e249a3428d3e4359cfe43df75bd9c5722b3beb7a49ba33a23f33b37307d8,28,0,0
12,1714688867,b21257ddda7db845dbbdf361bfead7b2c515fc3849c41d08286824110f5fd32b,1714688869,1714688897,1,2,erd1qyu5wthldzr8wx5c9ucg8kjagg0jfs53s8nr3zpz3hypefsdd8ssycr6th,erd1dc3yzxxeq69wvf583gw0h67td226gu2ahpk3k50qdgzzym8npltq7ndgha,23d2e249a3428d3e4359cfe43df75bd9c5722b3beb7a49ba33a23f33b37307d8,28,0,0
13,1714688867,d7a32a0ae85390f9cac5b421c46c6aec1eabaa5f17ca5b16bd923e264df9d390,1714688869,1714688897,1,2,erd18tudnj2z8vjh0339yu3vrkgzz2jpz8mjq0uhgnmklnap6z33qqeszq2yn4,erd1dc3yzxxeq69wvf583gw0h67td226gu2ahpk3k50qdgzzym8npltq7ndgha,23d2e249a3428d3e4359cfe43df75bd9c5722b3beb7a49ba33a23f33b37307d8,28,0,0
14,1714688867,877ea1b1436c14323bde77b6dc8846b5fdec58c4eae908b1523db08b49cff8d0,1714688869,1714688897,0,1,erd1uv40ahysflse896x4ktnh6ecx43u7cmy9wnxnvcyp7deg299a4sq6vaywa,erd1kyaqzaprcdnv4luvanah0gfxzzsnpaygsy6pytrexll2urtd05ts9vegu7,6f4f7bd880b9b1685e1e32ba8811a3f4ccb711632c9ea3465bcefc3f94923a29,28,0,0
15,1714688867,ff44dbeddc33e33aca4481fb673337270561134e3a21cc6192a5de6f4d6c3ba2,1714688869,1714688903,1,0,erd1kyaqzaprcdnv4luvanah0gfxzzsnpaygsy6pytrexll2urtd05ts9vegu7,erd1uv40ahysflse896x4ktnh6ecx43u7cmy9wnxnvcyp7deg299a4sq6vaywa,b34fb202a82c3ee694ccc83d19f0cd1041a4695fc1f7afcee5ae3ca4d5f28b5e,34,0,0
16,1714688867,864974ef7f78feb9872647c101251b7b0ff1092568e5ba190a72acdf0f38663a,1714688869,1714688897,1,2,erd1qyu5wthldzr8wx5c9ucg8kjagg0jfs53s8nr3zpz3hypefsdd8ssycr6th,erd1fggp5ru0jhcjrp5rjqyqrnvhr3sz3v2e0fm3ktknvlg7mcyan54qzccnan,23d2e249a3428d3e4359cfe43df75bd9c5722b3beb7a49ba33a23f33b37307d8,28,0,0
17,1714688867,250e1aa6dc3adba49143d83664cb43fb7b8186d5477a97fd8ac86ec550c23044,1714688869,1714688897,1,2,erd18tudnj2z8vjh0339yu3vrkgzz2jpz8mjq0uhgnmklnap6z33qqeszq2yn4,erd1fggp5ru0jhcjrp5rjqyqrnvhr3sz3v2e0fm3ktknvlg7mcyan54qzccnan,23d2e249a3428d3e4359cfe43df75bd9c5722b3beb7a49ba33a23f33b37307d8,28,0,0
18,1714688867,3f5330efc35bdd46a5a4b55d25a52fad503f77bf9283fae9e34c4335122b59da,1714688869,1714688897,1,0,erd1qyu5wthldzr8wx5c9ucg8kjagg0jfs53s8nr3zpz3hypefsdd8ssycr6th,erd1spyavw0956vq68xj8y4tenjpq2wd5a9p2c6j8gsz7ztyrnpxrruqzu66jx,18745d6780d2d2a48063cb6b1ef3f8b5e07f23a16362cd49957967eb3a19fbe1,28,0,0
19,1714688867,4edd486d9eb4d75754ed13a34083826461b0ef13fb6192fbf9f7cee8b440f180,1714688869,1714688903,1,0,erd1kyaqzaprcdnv4luvanah0gfxzzsnpaygsy6pytrexll2urtd05ts9vegu7,erd1uv40ahysflse896x4ktnh6ecx43u7cmy9wnxnvcyp7deg299a4sq6vaywa,b34fb202a82c3ee694ccc83d19f0cd1041a4695fc1f7afcee5ae3ca4d5f28b5e,34,0,0
20,1714688867,f44c84c5c0c80161ede58c5468e267770a6b225400e1150aa7d4b8630f21e84e,1714688869,1714688897,1,2,erd1qyu5wthldzr8wx5c9ucg8kjagg0jfs53s8nr3zpz3hypefsdd8ssycr6th,erd1dc3yzxxeq69wvf583gw0h67td226gu2ahpk3k50qdgzzym8npltq7ndgha,23d2e249a3428d3e4359cfe43df75bd9c5722b3beb7a49ba33a23f33b37307d8,28,0,0
21,1714688867,a976d4fa4730ed369d6ee0834f532054a5b18692059aaba584ab3def430e1f1b,1714688869,1714688897,1,0,erd1qyu5wthldzr8wx5c9ucg8kjagg0jfs53s8nr3zpz3hypefsdd8ssycr6th,erd1spyavw0956vq68xj8y4tenjpq2wd5a9p2c6j8gsz7ztyrnpxrruqzu66jx,18745d6780d2d2a48063cb6b1ef3f8b5e07f23a16362cd49957967eb3a19fbe1,28,0,0
22,1714688867,f121a69f9b32a47a0cbf4778bf07c3616b361e627708cd23afffb55d9823280e,1714688869,1714688897,1,0,erd18tudnj2z8vjh0339yu3vrkgzz2jpz8mjq0uhgnmklnap6z33qqeszq2yn4,erd1uv40ahysflse896x4ktnh6ecx43u7cmy9wnxnvcyp7deg299a4sq6vaywa,18745d6780d2d2a48063cb6b1ef3f8b5e07f23a16362cd49957967eb3a19fbe1,28,0,0
23,1714688867,16555f34909cc0120d5753e0c106014d829e033c7023f51704c52eb4da54ea4b,1714688869,1714688897,0,2,erd1uv40ahysflse896x4ktnh6ecx43u7cmy9wnxnvcyp7deg299a4sq6vaywa,erd1fggp5ru0jhcjrp5rjqyqrnvhr3sz3v2e0fm3ktknvlg7mcyan54qzccnan,465c7494c0ef27a42bdd444b8627216269fd62518415af659b06afe61b974f6b,28,0,0
24,1714688867,59dd4f0be0a8eb5fec7895b6ba7f54c9ad171dab4fa86ea33c30c42532780fe2,1714688870,1714688897,1,2,erd1qyu5wthldzr8wx5c9ucg8kjagg0jfs53s8nr3zpz3hypefsdd8ssycr6th,erd1dc3yzxxeq69wvf583gw0h67td226gu2ahpk3k50qdgzzym8npltq7ndgha,23d2e249a3428d3e4359cfe43df75bd9c5722b3beb7a49ba33a23f33b37307d8,27,0,0
25,1714688867,5e6b465d0599a30d997018b4bcd5d4d2faf2895e06cd7f32f5ea84d94c9b30f3,1714688869,1714688897,1,0,erd1qyu5wthldzr8wx5c9ucg8kjagg0jfs53s8nr3zpz3hypefsdd8ssycr6th,erd1uv40ahysflse896x4ktnh6ecx43u7cmy9wnxnvcyp7deg299a4sq6vaywa,18745d6780d2d2a48063cb6b1ef3f8b5e07f23a16362cd49957967eb3a19fbe1,28,0,0
26,1714688867,1475c736e76a81a362dd16e64d7726b5af1b8a11ed475514575ab459cd4565a7,1714688869,1714688903,1,2,erd1kyaqzaprcdnv4luvanah0gfxzzsnpaygsy6pytrexll2urtd05ts9vegu7,erd1fggp5ru0jhcjrp5rjqyqrnvhr3sz3v2e0fm3ktknvlg7mcyan54qzccnan,0ee242a33b3bc2c36500f1bfc1e1e7db9d3b48d52b7a1d40a496cb65c5383b0f,34,0,0
27,1714688867,eff0c162152f8c32cfffe604f8d9a994859d27e3660b928867cea49a11a646d6,1714688869,1714688897,1,2,erd18tudnj2z8vjh0339yu3vrkgzz2jpz8mjq0uhgnmklnap6z33qqeszq2yn4,erd1dc3yzxxeq69wvf583gw0h67td226gu2ahpk3k50qdgzzym8npltq7ndgha,23d2e249a3428d3e4359cfe43df75bd9c5722b3beb7a49ba33a23f33b37307d8,28,0,0
28,1714688867,5b6c46628d0bf00e50d0662fff6646e15359c89aabc339911f941b143710fce1,1714688869,1714688903,1,2,erd1kyaqzaprcdnv4luvanah0gfxzzsnpaygsy6pytrexll2urtd05ts9vegu7,erd1k2s324ww2g0yj38qn2ch2jwctdy8mnfxep94q9arncc6xecg3xaq6mjse8,0ee242a33b3bc2c36500f1bfc1e1e7db9d3b48d52b7a1d40a496cb65c5383b0f,34,0,0
29,1714688867,f9748ab91789a6399ba3552a1abb705d617b97b91be04dc94f8227689542b876,1714688870,1714688903,1,0,erd1kyaqzaprcdnv4luvanah0gfxzzsnpaygsy6pytrexll2urtd05ts9vegu7,erd1spyavw0956vq68xj8y4tenjpq2wd5a9p2c6j8gsz7ztyrnpxrruqzu66jx,b34fb202a82c3ee694ccc83d19f0cd1041a4695fc1f7afcee5ae3ca4d5f28b5e,33,0,0
30,1714688867,1776b7da4e434cba533ae7c22cc10d8961a07fe360920bf935ceefe0aa3e9767,1714688870,1714688903,1,2,erd1kyaqzaprcdnv4luvanah0gfxzzsnpaygsy6pytrexll2urtd05ts9vegu7,erd1fggp5ru0jhcjrp5rjqyqrnvhr3sz3v2e0fm3ktknvlg7mcyan54qzccnan,0ee242a33b3bc2c36500f1bfc1e1e7db9d3b48d52b7a1d40a496cb65c5383b0f,33,0,0
31,1714688867,5e27f548ce046fdcfb14da92e8947fa0e804f4a0a6177def91605a2bd1fa7712,1714688870,1714688903,1,2,erd1kyaqzaprcdnv4luvanah0gfxzzsnpaygsy6pytrexll2urtd05ts9vegu7,erd1dc3yzxxeq69wvf583gw0h67td226gu2ahpk3k50qdgzzym8npltq7ndgha,0ee242a33b3bc2c36500f1bfc1e1e7db9d3b48d52b7a1d40a496cb65c5383b0f,33,0,0
32,1714688867,db671fec9c53669861479b63352483618ff583ae8f3c6e87c58fdf604ac81c6c,1714688870,1714688897,1,2,erd18tudnj2z8vjh0339yu3vrkgzz2jpz8mjq0uhgnmklnap6z33qqeszq2yn4,erd1dc3yzxxeq69wvf583gw0h67td226gu2ahpk3k50qdgzzym8npltq7ndgha,23d2e249a3428d3e4359cfe43df75bd9c5722b3beb7a49ba33a23f33b37307d8,27,0,0
33,1714688867,f39c82e6b538f20b7a774185d16b5bf3bd22be700736123263752beabf530f8c,1714688869,1714688897,1,0,erd18tudnj2z8vjh0339yu3vrkgzz2jpz8mjq0uhgnmklnap6z33qqeszq2yn4,erd1spyavw0956vq68xj8y4tenjpq2wd5a9p2c6j8gsz7ztyrnpxrruqzu66jx,18745d6780d2d2a48063cb6b1ef3f8b5e07f23a16362cd49957967eb3a19fbe1,28,0,0
34,1714688867,8f9037cf6420a0cf56d667e708b8122c47d09307ad9942f539c4f7415ade76bd,1714688869,1714688903,1,0,erd1kyaqzaprcdnv4luvanah0gfxzzsnpaygsy6pytrexll2urtd05ts9vegu7,erd1spyavw0956vq68xj8y4tenjpq2wd5a9p2c6j8gsz7ztyrnpxrruqzu66jx,b34fb202a82c3ee694ccc83d19f0cd1041a4695fc1f7afcee5ae3ca4d5f28b5e,34,0,0
35,1714688867,0e29fec0ef66a8752b0ede28304d00b0e04567740db618c59951790ddd357570,1714688870,1714688903,1,2,erd1kyaqzaprcdnv4luvanah0gfxzzsnpaygsy6pytrexll2urtd05ts9vegu7,erd1k2s324ww2g0yj38qn2ch2jwctdy8mnfxep94q9arncc6xecg3xaq6mjse8,0ee242a33b3bc2c36500f1bfc1e1e7db9d3b48d52b7a1d40a496cb65c5383b0f,33,0,0
36,1714688867,3f47ecde0b81327d25d54191e536e557597567d9dc64b062f9a62d14f55375c2,1714688869,1714688897,1,2,erd1qyu5wthldzr8wx5c9ucg8kjagg0jfs53s8nr3zpz3hypefsdd8ssycr6th,erd1k2s324ww2g0yj38qn2ch2jwctdy8mnfxep94q9arncc6xecg3xaq6mjse8,23d2e249a3428d3e4359cfe43df75bd9c5722b3beb7a49ba33a23f33b37307d8,28,0,0
37,1714688867,738621b2aa761424ca6c2d21edd76b4328b9ca95d0245c0350162fe6fcf69724,1714688869,1714688897,1,0,erd13x29rvmp4qlgn4emgztd8jgvyzdj0p6vn37tqxas3v9mfhq4dy7shalqrx,erd1uv40ahysflse896x4ktnh6ecx43u7cmy9wnxnvcyp7deg299a4sq6vaywa,18745d6780d2d2a48063cb6b1ef3f8b5e07f23a16362cd49957967eb3a19fbe1,28,0,0
38,1714688867,97e1c5960159cde14ee73263d6622513d6cf73ac930ef554f95bbfff816f7204,1714688870,1714688897,1,0,erd18tudnj2z8vjh0339yu3vrkgzz2jpz8mjq0uhgnmklnap6z33qqeszq2yn4,erd1uv40ahysflse896x4ktnh6ecx43u7cmy9wnxnvcyp7deg299a4sq6vaywa,18745d6780d2d2a48063cb6b1ef3f8b5e07f23a16362cd49957967eb3a19fbe1,27,0,0
39,1714688867,d170bb34807c721a80983253b409efcc58ba65bd7f315f0208dd7b9a570e798b,1714688870,1714688897,1,0,erd18tudnj2z8vjh0339yu3vrkgzz2jpz8mjq0uhgnmklnap6z33qqeszq2yn4,erd1uv40ahysflse896x4ktnh6ecx43u7cmy9wnxnvcyp7deg299a4sq6vaywa,18745d6780d2d2a48063cb6b1ef3f8b5e07f23a16362cd49957967eb3a19fbe1,27,0,0
40,1714688867,89a0bc258073cdccc3a4642550196d22460b2a5779019c9c744ab666f0f6b656,1714688870,1714688897,1,2,erd1qyu5wthldzr8wx5c9ucg8kjagg0jfs53s8nr3zpz3hypefsdd8ssycr6th,erd1k2s324ww2g0yj38qn2ch2jwctdy8mnfxep94q9arncc6xecg3xaq6mjse8,23d2e249a3428d3e4359cfe43df75bd9c5722b3beb7a49ba33a23f33b37307d8,27,0,0
41,1714688867,661fd889d6da62459d45d5c4e10b62b8496a2308fe8aa21c1477af63cc2b35f6,1714688870,1714688903,1,0,erd1kyaqzaprcdnv4luvanah0gfxzzsnpaygsy6pytrexll2urtd05ts9vegu7,erd1spyavw0956vq68xj8y4tenjpq2wd5a9p2c6j8gsz7ztyrnpxrruqzu66jx,b34fb202a82c3ee694ccc83d19f0cd1041a4695fc1f7afcee5ae3ca4d5f28b5e,33,0,0
42,1714688867,336af56a97eb71da4c4b1087e8a9da5a760ff7f938f8798b0015bf32e8fa84a2,1714688869,1714688897,1,0,erd1qyu5wthldzr8wx5c9ucg8kjagg0jfs53s8nr3zpz3hypefsdd8ssycr6th,erd1spyavw0956vq68xj8y4tenjpq2wd5a9p2c6j8gsz7ztyrnpxrruqzu66jx,18745d6780d2d2a48063cb6b1ef3f8b5e07f23a16362cd49957967eb3a19fbe1,28,0,0
43,1714688867,c02c46b00fdf2f857ed1248d8966a5249804b98db1988c506b5430de365db5cf,1714688870,1714688897,1,0,erd1qyu5wthldzr8wx5c9ucg8kjagg0jfs53s8nr3zpz3hypefsdd8ssycr6th,erd1uv40ahysflse896x4ktnh6ecx43u7cmy9wnxnvcyp7deg299a4sq6vaywa,18745d6780d2d2a48063cb6b1ef3f8b5e07f23a16362cd49957967eb3a19fbe1,27,0,0
44,1714688867,cdcce392466387c6d9f07d970a3e371722462760414284513b0c828ad90cabfb,1714688870,1714688903,1,2,erd1kyaqzaprcdnv4luvanah0gfxzzsnpaygsy6pytrexll2urtd05ts9vegu7,erd1dc3yzxxeq69wvf583gw0h67td226gu2ahpk3k50qdgzzym8npltq7ndgha,0ee242a33b3bc2c36500f1bfc1e1e7db9d3b48d52b7a1d40a496cb65c5383b0f,33,0,0
45,1714688867,6bc832c9494bb322aed29396603829e610b62dbadc40edfecf3ad060c68f16e4,1714688870,1714688897,1,2,erd18tudnj2z8vjh0339yu3vrkgzz2jpz8mjq0uhgnmklnap6z33qqeszq2yn4,erd1fggp5ru0jhcjrp5rjqyqrnvhr3sz3v2e0fm3ktknvlg7mcyan54qzccnan,23d2e249a3428d3e4359cfe43df75bd9c5722b3beb7a49ba33a23f33b37307d8,27,0,0
46,1714688867,2b5dc03b9e7835669ea823a24e7da5d1eaf155585c9c5f1bb2d29cf32b6875a5,1714688869,1714688903,1,0,erd1kyaqzaprcdnv4luvanah0gfxzzsnpaygsy6pytrexll2urtd05ts9vegu7,erd1uv40ahysflse896x4ktnh6ecx43u7cmy9wnxnvcyp7deg299a4sq6vaywa,b34fb202a82c3ee694ccc83d19f0cd1041a4695fc1f7afcee5ae3ca4d5f28b5e,34,0,0
47,1714688867,49c44c62fea0298e22c3953576f3090232656cb7d6162efccbd59f85d3ac58a5,1714688869,1714688897,1,0,erd1qyu5wthldzr8wx5c9ucg8kjagg0jfs53s8nr3zpz3hypefsdd8ssycr6th,erd1spyavw0956vq68xj8y4tenjpq2wd5a9p2c6j8gsz7ztyrnpxrruqzu66jx,18745d6780d2d2a48063cb6b1ef3f8b5e07f23a16362cd49957967eb3a19fbe1,28,0,0
48,1714688867,92a4b360bcf7c4a5d44762cd7d346de9ea689bfd9bb24a6edca9fc0c9c643936,1714688870,1714688897,1,0,erd1qyu5wthldzr8wx5c9ucg8kjagg0jfs53s8nr3zpz3hypefsdd8ssycr6th,erd1uv40ahysflse896x4ktnh6ecx43u7cmy9wnxnvcyp7deg299a4sq6vaywa,18745d6780d2d2a48063cb6b1ef3f8b5e07f23a16362cd49957967eb3a19fbe1,27,0,0
